County,Year,Homeless (Count),Population,Unemployment Rate,Median Inc,Incarceration (Rateper1000),Poverty (Count),Drug Arrests (Count),Relocated (Rate),Sub Abuse Enrollment (Count),Adult Pysch Beds (Count),Severe Housing Problems (Rate),Forcible Sex (Count),Foster Care (Count)
Franklin,2020,0,12229,5.4,48814,6.7,2102,88,19.6333977970235,59,0,NA,3,19
Gadsden,2018,6,48173,4.6,40922,2.8,10482,306,10.7304785894207,191,0,13.3,35,17
Gadsden,2019,2,47926,4.3,41401,2.6,9681,154,10.7744034233565,151,0,NA,32,26
Gadsden,2020,14,46345,6.8,41135,1.7,9032,42,11.9052372396353,116,0,NA,18,48
Gilchrist,2018,0,17578,3.8,42357,3.4,2906,72,12.9500947567909,56,0,11.4,10,23
Gilchrist,2019,0,17682,3.6,43640,2.6,2827,103,11.7411684005945,57,0,NA,11,14
Gilchrist,2020,0,18027,4.9,47381,2,2193,77,11.5894966687196,24,0,NA,4,18
Glades,2018,36,13193,4,39879,2.8,2061,129,5.90288797207236,26,0,16.3,5,11
Glades,2019,34,13098,4.1,40977,2.8,2143,219,4.68875663503297,27,0,NA,5,24
Glades,2020,34,13230,5.6,39709,2.9,2127,64,5.2391441157961,5,0,NA,5,19
Gulf,2018,2,16235,4.4,44291,2.6,1900,161,17.570314036583,89,0,16.2,4,8
Gulf,2019,4,16507,5,47712,3.6,1690,134,18.3049216387132,67,0,NA,2,6
Gulf,2020,2,14716,5.9,50640,4.1,1496,72,18.8222849083216,36,0,NA,11,11
Hamilton,2018,0,14706,4.2,34583,4.2,3243,185,16.3323993511282,34,0,19.1,8,3
Hamilton,2019,45,14787,4.3,38569,4.4,3296,128,14.1517599538373,19,0,NA,9,9
Hamilton,2020,45,14618,7.6,38300,2.9,2863,67,10.9251822103228,7,0,NA,6,11
Hardee,2018,82,27436,5.3,37594,5,6775,260,11.1573453699133,115,0,13.7,13,32
Hardee,2019,70,27311,5.3,38682,5.3,6105,272,11.9315796837834,60,0,NA,9,41
Hardee,2020,70,27571,6.5,40165,3.4,6189,198,9.86509883133747,50,0,NA,11,48
Hendry,2018,45,39682,6.1,40728,7.7,10584,509,11.3728804606201,100,0,22.1,33,54
