"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"285","Freaks",2,1932,3659,"0022913","tt0022913",7.8,47194
"286","Island of Lost Souls",1,1932,3844,"0024188","tt0024188",7.4,9820
"287","Old Dark House, The",3,1932,4775,"0023293","tt0023293",7,11432
"288","Merrily We Go to Hell",3,1932,5742,"0023213","tt0023213",6.9,1631
"289","Girl from Calgary, The",2,1932,5783,"0022940","tt0022940",5.3,83
"290","Vampyr",3,1932,5910,"0023649","tt0023649",7.4,18832
"291","Shanghai Express",3,1932,5929,"0023458","tt0023458",7.3,9155
"292","Three on a Match",3,1932,6051,"0023590","tt0023590",7.1,4028
"293","Love Me Tonight",2,1932,6052,"0023158","tt0023158",7.6,4260
"294","Scarface",1,1932,6063,"0023427","tt0023427",7.7,28455
"295","Red-Headed Woman",3,1932,6092,"0023385","tt0023385",7,3271
"296","Death Kiss, The",1,1932,6176,"0023935","tt0023935",6,1194
"297","Thirteen Women",3,1932,6852,"0023582","tt0023582",6.2,1463
"298","Blue Light (Das Blaue Licht), The",1,1932,6990,"0022694","tt0022694",6.8,1302
"299","Number 17",0,1932,7301,"0023285","tt0023285",5.7,4999
"300","Footlight Parade",3,1933,802,"0024028","tt0024028",7.5,5625
"301","Queen Christina",3,1933,1330,"0024481","tt0024481",7.5,8069
"302","Private Life of Henry VIII., The",1,1933,1248,"0024473","tt0024473",7,4476
"303","King Kong",0,1933,2229,"0024216","tt0024216",7.9,86391
"304","Little Women",3,1933,2231,"0024264","tt0024264",7.2,7287
"305","Alice in Wonderland",3,1933,3188,"0023753","tt0023753",6.3,2333
"306","Vampire Bat, The",3,1933,3210,"0024727","tt0024727",5.7,2735
"307","42nd Street",3,1933,4335,"0024034","tt0024034",7.3,12257
"308","Day of Reckoning",3,1933,5029,"0023932","tt0023932",6.4,263
"309","Duck Soup",1,1933,5185,"0023969","tt0023969",7.8,60550
"310","Tomorrow at Seven",3,1933,5752,"0024679","tt0024679",5.7,342
"311","Gold Diggers of 1933",3,1933,5916,"0024069","tt0024069",7.7,8427
"312","Female",3,1933,6056,"0024008","tt0024008",6.7,1724
"313","A Study in Scarlet",3,1933,6193,"0024625","tt0024625",5.6,1078
"314","Peanut Vendor, The",0,1933,6205,"0024432","tt0024432",6.2,150
"315","Invisible Man, The",1,1933,7450,"0024184","tt0024184",7.6,36405
"316","Baby Face",3,1933,7528,"0023775","tt0023775",7.5,7223
"317","Design for Living",1,1933,8346,"0023940","tt0023940",7.4,6989
"318","Cavalcade",3,1933,8477,"0023876","tt0023876",5.8,5376
"319","Kennel Murder Case, The",1,1933,10492,"0024210","tt0024210",6.9,3591
"320","It Happened One Night",3,1934,621,"0025316","tt0025316",8.1,104920
"321","Cat&#39;s-Paw, The",1,1934,1324,"0024961","tt0024961",6.6,1278
"322","Scarlet Empress, The",3,1934,1325,"0025746","tt0025746",7.5,6758
"323","Painted Veil, The",1,1934,1329,"0025617","tt0025617",6.5,1576
"324","Count of Monte Cristo, The",1,1934,1246,"0025004","tt0025004",7.4,2925
"325","Cleopatra",1,1934,1270,"0024991","tt0024991",6.8,4065
"326","Of Human Bondage",1,1934,1379,"0025586","tt0025586",7,7581
"327","L&#39;atalante",0,1934,1795,"0024844","tt0024844",7.8,16287
"328","Lost Patrol, The",0,1934,1969,"0025423","tt0025423",6.8,3390
"329","Spitfire",3,1934,4443,"0025822","tt0025822",5.4,827
"330","Maniac",3,1934,4702,"0025465","tt0025465",3.7,2534
"331","Anne of Green Gables",3,1934,5319,"0024831","tt0024831",7,1323
"332","Lost in the Stratosphere",2,1934,5523,"0025424","tt0025424",4.4,124
"333","Search for Beauty",3,1934,5821,"0025755","tt0025755",6.1,642
"334","Evelyn Prentice",3,1934,6772,"0025091","tt0025091",6.8,1648
"335","Man Who Knew Too Much, The",3,1934,7304,"0025452","tt0025452",6.7,19544
"336","Imitation of Life",3,1934,7999,"0025301","tt0025301",7.5,4954
"337","Mystery Liner",0,1934,8653,"0025543","tt0025543",4.5,458
"338","Top Hat",2,1935,595,"0027125","tt0027125",7.7,19489
"339","39 Steps, The",3,1935,1242,"0026029","tt0026029",7.6,57820
"340","Anna Karenina",2,1935,1261,"0026071","tt0026071",7,5508
"341","Mutiny on the Bounty",1,1935,1361,"0026752","tt0026752",7.7,23377
"342","Naughty Marietta",3,1935,1685,"0026768","tt0026768",6.5,1402
"343","Roberta",3,1935,2362,"0026942","tt0026942",7,3438
"344","Magnificent Obsession",3,1935,2756,"0026667","tt0026667",6.8,1013
"345","A Night At The Opera",1,1935,3881,"0026778","tt0026778",7.8,33248
"346","Bride of Frankenstein, The",3,1935,3891,"0026138","tt0026138",7.8,49586
"347","Lady in Scarlet, The",2,1935,5750,"0026599","tt0026599",6,171
"348","Riverside Murder, The",2,1935,5913,"0026939","tt0026939",5.7,311
"349","Mad Love",2,1935,7998,"0026663","tt0026663",7.2,5462
"350","Swing Time",1,1936,596,"0028333","tt0028333",7.5,13899
"351","Modern Times",0,1936,1323,"0027977","tt0027977",8.5,243357
"352","Charge of the Light Brigade, The",1,1936,1237,"0027438","tt0027438",7,5124
"353","San Francisco",1,1936,1359,"0028216","tt0028216",7.2,5712
