"Combined","YearOfLaunch","Segment","Trim_Count","AVG_MSRP_CAD","MSRP_Range_CAD","StdDev_MSRP_CAD","Error.MSRP_CAD"
"2001 Chevrolet Suburban",2000,NA,16,46821.25,21500,6441.47692691668,1610.36923172917
"2001 Chevrolet Tahoe",2000,NA,12,40573.3333333333,18200,6201.67987994651,1790.2707740575
"2001 Chevrolet Tahoe Special Service",2000,NA,4,35865,4300,1990.81222955188,995.406114775941
"2001 Chevrolet Tracker",2000,NA,5,21355,2700,1045.46640309481,467.546789102438
"2001 Chevrolet Venture",2000,NA,8,30915,13700,4397.40183030194,1554.71632690432
"2001 Chrysler 300M",2000,NA,1,40915,0,NA,NA
"2001 Chrysler Concorde",2000,NA,2,30865,4700,3323.40187157677,2350
"2001 Chrysler Intrepid",2000,NA,4,27790,4500,1903.28663106743,951.643315533714
"2001 Chrysler LHS",2000,NA,1,41715,0,NA,NA
"2001 Chrysler Neon",2000,NA,2,18715,600,424.264068711929,300
"2001 Chrysler PT Cruiser",2000,NA,2,24215,1000,707.106781186548,500
"2001 Chrysler Sebring",2000,NA,9,29615,14500,5074.93842327175,1691.64614109058
"2001 Chrysler Town & Country",2000,NA,3,46081.6666666667,8800,4473.62641861536,2582.8494170414
"2001 Dodge Caravan",2000,NA,7,34429.2857142857,15000,6023.13002002242,2276.52916388383
"2001 Dodge Dakota",2000,NA,60,26191.6666666667,13800,3222.24085974219,415.989506241686
"2001 Dodge Durango",2000,NA,4,39415,2000,912.870929175277,456.435464587638
"2001 Dodge Ram",2000,NA,62,33281.1290322581,15000,4271.59675862828,542.493330839394
"2001 Dodge Ram 1500",2000,NA,38,27793.9473684211,12600,3521.29873881298,571.230085636203
"2001 Dodge Ram 2500",2000,NA,42,36453.0952380952,15400,4043.84219499544,623.978397405856
"2001 Dodge Ram 3500",2000,NA,28,38811.4285714286,15400,4131.49440659745,780.779053065088
"2001 Dodge Ram Wagon",2000,NA,8,32177.5,4300,1485.10461391974,525.063771637041
"2001 Dodge Viper",2000,NA,2,108415,3800,2687.00576850888,1900
"2001 Ford E-150",2000,NA,6,31215,5200,2125.08823346232,867.563638395863
"2001 Ford E-350",2000,NA,16,37977.5,12800,3819.22767061614,954.806917654035
"2001 Ford Econoline",2000,NA,54,30400.1851851852,22100,4056.088245077,551.963697341086
"2001 Ford Escape",2000,NA,5,24775,8100,3074.57314110431,1374.99090906086
"2001 Ford Excursion",2000,NA,6,51598.3333333333,17700,6140.81970641271,2506.97914718979
"2001 Ford Expedition",2000,NA,3,44581.6666666667,9600,5326.66249478351,3075.35002524555
"2001 Ford Explorer",2000,NA,7,41457.8571428571,9700,3454.87922743914,1305.82160650956
"2001 Ford Explorer Sport",2000,NA,2,31715,1400,989.949493661167,700
"2001 Ford Explorer Sport Trac",2000,NA,4,30615,5600,2593.58182185692,1296.79091092846
"2001 Ford F-150",2000,NA,145,31635.6896551724,24100,5106.27196788045,424.052805836333
"2001 Ford Focus",2000,NA,10,18635,5400,1702.15549622628,538.268829984919
"2001 Ford Mustang",2000,NA,10,31575,20200,6507.2950516239,2057.78737698745
"2001 Ford Ranger",2000,NA,29,22190.8620689655,10800,2715.51825787767,504.259081222553
"2001 Ford Super",2000,NA,381,66032.8477690289,127700,9728.04392021371,498.382787546734
"2001 Ford Super Duty F-250",2000,NA,174,37908.1034482759,24700,4999.98365554434,379.047782719466
"2001 Ford Super Duty F-350",2000,NA,264,38010.0757575758,25400,5112.44050361314,314.648962066436
"2001 Ford Super Duty F-350 DRW",2000,NA,212,38761.2264150943,27400,5668.86690999886,389.339377853753
"2001 Ford Super Duty F-450",2000,NA,140,43290,26700,5863.31265171819,495.540363440317
"2001 Ford Super Duty F-550",2000,NA,112,46612.3214285714,25700,5611.22523309068,530.2109470403
"2001 Ford Super Duty F-650",2000,NA,96,62583.75,22600,5417.69639335081,552.941322709426
"2001 Ford Super Duty F-750",2000,NA,180,69864.4444444444,29200,6384.33397936111,475.860158963773
"2001 Ford Taurus",2000,NA,12,27365,5400,1460.69721832978,421.666966103619
"2001 Ford Windstar",2000,NA,4,33040,14400,6058.80901387943,3029.40450693972
"2001 Ford Windstar Cargo Van",2000,NA,1,24715,0,NA,NA
"2001 GMC Jimmy",2000,NA,7,34915,10200,3922.58418222817,1482.5974632702
"2001 GMC Safari Cargo Van",2000,NA,2,26165,2900,2050.60966544099,1450
"2001 GMC Safari Passenger",2000,NA,6,30515,9000,3292.41552663087,1344.12301024373
"2001 GMC Savana Cargo Van",2000,NA,17,28515,7800,2345.47436566678,568.86109128369
"2001 GMC Savana Passenger",2000,NA,68,31132.6470588235,20100,4091.05107015886,496.112814178269
"2001 GMC Sierra 1500",2000,NA,75,30751,27100,5496.57485486509,634.689794415457
"2001 GMC Sierra 2500",2000,NA,63,35776.9047619048,24800,5446.1714451657,686.153106729985
"2001 GMC Sierra 2500HD",2000,NA,144,38524.0277777778,24500,5151.95547360613,429.329622800511
"2001 GMC Sierra 3500",2000,NA,279,37877.7240143369,25100,5107.37664072042,305.770641373695
"2001 GMC Sonoma",2000,NA,28,20375.7142857143,9500,2495.67615505287,471.638461373126
"2001 GMC TC6H042",2000,NA,16,52258.75,24800,6271.51961914601,1567.8799047865
"2001 GMC TC7H042",2000,NA,58,63633.9655172414,36600,9403.47932801866,1234.73732703227
"2001 GMC TC7H064",2000,NA,26,82007.3076923077,16600,5402.95645563968,1059.60693839995
