"VIN","make","model","model_year","fuel_type","GVWR"
"jn1cv6arxcm977354","INFINITI","G37","2012","Gasoline",""
"jn1cv6ar2cm680675","INFINITI","G37","2012","Gasoline",""
"jn1cv6ar5cm972241","INFINITI","G37","2012","Gasoline",""
"jn1cv6ar9cm672430","INFINITI","G37","2012","Gasoline",""
"jn8az2nd7c9715296","INFINITI","QX56","2012","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"2t2bk1ba1cc143091","LEXUS","RX","2012","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"wd3pf4cc9c5649968","MERCEDES-BENZ","Sprinter","2012","Diesel","Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)"
"2g1wb5e39e1132134","CHEVROLET","Impala","2014","Gasoline",""
"jn8az2kr5ct252707","NISSAN","Cube","2012","Gasoline","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)"
"1gcsgafx5b1177168","CHEVROLET","Express","2011","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"1ft7w2bt3bea67469","FORD","F-250","2011","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"nm0ks9cn4bt054396","FORD","Transit Connect","2011","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"nm0ks9cn9bt057164","FORD","Transit Connect","2011","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"1zvbp8js7b5160401","FORD","Mustang","2011","Gasoline",""
"nm0ls7dn5bt044354","FORD","Transit Connect","2011","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"5j6yh1h39bl002292","HONDA","Element","2011","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"jn1dv6ar2bm450928","INFINITI","G25","2011","Gasoline",""
"jn1cv6ap9bm303354","INFINITI","G37","2011","Gasoline",""
